Date,Team,Player,Pos
11/17/2021,BOS,Marcus Smart,PG
11/17/2021,BOS,Dennis Schroder,PG
11/17/2021,BOS,Jayson Tatum,SF
11/17/2021,BOS,Grant Williams,PF
11/17/2021,BOS,Al Horford,C
11/17/2021,ATL,Trae Young,PG
11/17/2021,ATL,Kevin Huerter,SG
11/17/2021,ATL,Bogdan Bogdanovic,SG
11/17/2021,ATL,John Collins,PF
11/17/2021,ATL,Clint Capela,C
11/17/2021,NOP,Devonte' Graham,PG
11/17/2021,NOP,Nickeil Alexander-Walker,SG
11/17/2021,NOP,Brandon Ingram,SF
11/17/2021,NOP,Josh Hart,SF
11/17/2021,NOP,Jonas Valanciunas,C
11/17/2021,MIA,Tyler Herro,SG
11/17/2021,MIA,Duncan Robinson,SG
11/17/2021,MIA,Jimmy Butler III,SF
11/17/2021,MIA,P.J. Tucker,PF
11/17/2021,MIA,Dewayne Dedmon,C
11/17/2021,LAL,Russell Westbrook,PG
11/17/2021,LAL,Avery Bradley,SG
11/17/2021,LAL,Talen Horton-Tucker,SG
11/17/2021,LAL,Carmelo Anthony,PF
11/17/2021,LAL,Anthony Davis,C
11/17/2021,MIL,Jrue Holiday,PG
11/17/2021,MIL,Khris Middleton,SF
11/17/2021,MIL,Grayson Allen,SF
11/17/2021,MIL,Bobby Portis,PF
11/17/2021,MIL,Giannis Antetokounmpo,PF
11/17/2021,CLE,Darius Garland,PG
11/17/2021,CLE,Ricky Rubio,PG
11/17/2021,CLE,Isaac Okoro,SF
11/17/2021,CLE,Ed Davis,PF
11/17/2021,CLE,Dean Wade,PF
11/17/2021,BRK,Patty Mills,PG
11/17/2021,BRK,Bruce Brown,SG
11/17/2021,BRK,James Harden,SG
11/17/2021,BRK,Blake Griffin,PF
11/17/2021,BRK,Kevin Durant,PF
11/17/2021,ORL,Cole Anthony,PG
11/17/2021,ORL,Jalen Suggs,SG
11/17/2021,ORL,Franz Wagner,SF
11/17/2021,ORL,Mo Bamba,C
11/17/2021,ORL,Wendell Carter Jr.,C
11/17/2021,NYK,Kemba Walker,PG
11/17/2021,NYK,Evan Fournier,SG
11/17/2021,NYK,RJ Barrett,SG
11/17/2021,NYK,Julius Randle,PF
11/17/2021,NYK,Mitchell Robinson,C
11/17/2021,SAC,Tyrese Haliburton,PG
11/17/2021,SAC,De'Aaron Fox,PG
11/17/2021,SAC,Harrison Barnes,SF
11/17/2021,SAC,Richaun Holmes,PF
11/17/2021,SAC,Chimezie Metu,C
11/17/2021,MIN,D'Angelo Russell,PG
11/17/2021,MIN,Patrick Beverley,PG
11/17/2021,MIN,Anthony Edwards,SG
11/17/2021,MIN,Jarred Vanderbilt,SF
11/17/2021,MIN,Karl-Anthony Towns,PF
11/17/2021,HOU,Jalen Green,SG
11/17/2021,HOU,Jae'Sean Tate,SF
11/17/2021,HOU,Eric Gordon,SF
11/17/2021,HOU,Danuel House Jr.,PF
11/17/2021,HOU,Christian Wood,PF
11/17/2021,OKC,Shai Gilgeous-Alexander,PG
11/17/2021,OKC,Josh Giddey,SG
11/17/2021,OKC,Luguentz Dort,SF
11/17/2021,OKC,Darius Bazley,PF
11/17/2021,OKC,Jeremiah Robinson-Earl,C
11/17/2021,DAL,Jalen Brunson,PG
11/17/2021,DAL,Tim Hardaway Jr.,SF
11/17/2021,DAL,Dorian Finney-Smith,PF
11/17/2021,DAL,Dwight Powell,C
11/17/2021,DAL,Kristaps Porzingis,C
11/17/2021,PHO,Chris Paul,PG
11/17/2021,PHO,Devin Booker,SG
11/17/2021,PHO,Mikal Bridges,SF
11/17/2021,PHO,Jae Crowder,PF
11/17/2021,PHO,Deandre Ayton,C
11/17/2021,CHI,Lonzo Ball,PG
11/17/2021,CHI,Alex Caruso,SG
11/17/2021,CHI,Zach LaVine,SG
11/17/2021,CHI,DeMar DeRozan,SF
11/17/2021,CHI,Tony Bradley,C
11/17/2021,POR,CJ McCollum,PG
11/17/2021,POR,Damian Lillard,PG
11/17/2021,POR,Norman Powell,SG
11/17/2021,POR,Robert Covington,SF
11/17/2021,POR,Jusuf Nurkic,C
11/18/2021,WAS,Aaron Holiday,PG
11/18/2021,WAS,Kentavious Caldwell-Pope,SG
11/18/2021,WAS,Bradley Beal,SG
11/18/2021,WAS,Kyle Kuzma,PF
11/18/2021,WAS,Montrezl Harrell,C
11/18/2021,MIA,Kyle Lowry,PG
11/18/2021,MIA,Duncan Robinson,SG
11/18/2021,MIA,Jimmy Butler III,SF
11/18/2021,MIA,P.J. Tucker,PF
11/18/2021,MIA,Bam Adebayo,C
11/18/2021,GSW,Jordan Poole,PG
11/18/2021,GSW,Stephen Curry,PG
11/18/2021,GSW,Andrew Wiggins,SF
11/18/2021,GSW,Draymond Green,PF
11/18/2021,GSW,Kevon Looney,C
11/18/2021,CLE,Ricky Rubio,PG
11/18/2021,CLE,Darius Garland,PG
11/18/2021,CLE,Isaac Okoro,SF
11/18/2021,CLE,Ed Davis,PF
11/18/2021,CLE,Dean Wade,PF
11/18/2021,SAS,Dejounte Murray,SG
11/18/2021,SAS,Derrick White,SG
11/18/2021,SAS,Doug McDermott,SF
11/18/2021,SAS,Keldon Johnson,SF
11/18/2021,SAS,Drew Eubanks,C
11/18/2021,MIN,Patrick Beverley,PG
11/18/2021,MIN,D'Angelo Russell,PG
11/18/2021,MIN,Anthony Edwards,SG
11/18/2021,MIN,Jarred Vanderbilt,SF
11/18/2021,MIN,Karl-Anthony Towns,PF
11/18/2021,LAC,Eric Bledsoe,PG
11/18/2021,LAC,Reggie Jackson,PG
11/18/2021,LAC,Paul George,SF
11/18/2021,LAC,Amir Coffey,PF
11/18/2021,LAC,Ivica Zubac,C
11/18/2021,MEM,Ja Morant,PG
11/18/2021,MEM,Desmond Bane,SG
11/18/2021,MEM,Dillon Brooks,SF
11/18/2021,MEM,Jaren Jackson Jr.,PF
11/18/2021,MEM,Steven Adams,C
11/18/2021,PHI,Tyrese Maxey,PG
11/18/2021,PHI,Seth Curry,SG
11/18/2021,PHI,Tobias Harris,SF
11/18/2021,PHI,Georges Niang,SF
11/18/2021,PHI,Andre Drummond,C
11/18/2021,DEN,Monte Morris,PG
11/18/2021,DEN,Will Barton,SG
11/18/2021,DEN,Jeff Green,PF
11/18/2021,DEN,Aaron Gordon,PF
11/18/2021,DEN,Nikola Jokic,C
11/18/2021,TOR,Fred VanVleet,PG
11/18/2021,TOR,Gary Trent Jr.,SG
11/18/2021,TOR,Scottie Barnes,SF
11/18/2021,TOR,Pascal Siakam,PF
11/18/2021,TOR,Khem Birch,C
11/18/2021,UTA,Donovan Mitchell,SG
11/18/2021,UTA,Bojan Bogdanovic,SF
11/18/2021,UTA,Joe Ingles,SF
11/18/2021,UTA,Royce O'Neale,PF
11/18/2021,UTA,Rudy Gobert,C
11/19/2021,IND,Malcolm Brogdon,SG
11/19/2021,IND,Chris Duarte,SF
11/19/2021,IND,Caris LeVert,SF
11/19/2021,IND,Domantas Sabonis,C
11/19/2021,IND,Myles Turner,C
11/19/2021,CHO,LaMelo Ball,PG
11/19/2021,CHO,Terry Rozier,PG
11/19/2021,CHO,Gordon Hayward,SF
11/19/2021,CHO,Miles Bridges,SF
11/19/2021,CHO,Mason Plumlee,C
11/19/2021,GSW,Jordan Poole,PG
11/19/2021,GSW,Gary Payton II,PG
11/19/2021,GSW,Andrew Wiggins,SF
11/19/2021,GSW,Juan Toscano-Anderson,PF
11/19/2021,GSW,Kevon Looney,C
11/19/2021,DET,Killian Hayes,PG
11/19/2021,DET,Cade Cunningham,PG
11/19/2021,DET,Isaiah Stewart,PF
11/19/2021,DET,Jerami Grant,PF
11/19/2021,DET,Saddiq Bey,PF
11/19/2021,LAL,Russell Westbrook,PG
11/19/2021,LAL,Talen Horton-Tucker,SG
11/19/2021,LAL,Avery Bradley,SG
11/19/2021,LAL,LeBron James,SF
11/19/2021,LAL,Anthony Davis,C
11/19/2021,BOS,Marcus Smart,PG
11/19/2021,BOS,Dennis Schroder,PG
11/19/2021,BOS,Jayson Tatum,SF
11/19/2021,BOS,Grant Williams,PF
11/19/2021,BOS,Al Horford,C
11/19/2021,ORL,Cole Anthony,PG
11/19/2021,ORL,Jalen Suggs,SG
11/19/2021,ORL,Franz Wagner,SF
11/19/2021,ORL,Wendell Carter Jr.,C
11/19/2021,ORL,Mo Bamba,C
11/19/2021,BRK,Patty Mills,PG
11/19/2021,BRK,James Harden,SG
11/19/2021,BRK,Bruce Brown,SG
11/19/2021,BRK,DeAndre' Bembry,SF
11/19/2021,BRK,Blake Griffin,PF
11/19/2021,LAC,Reggie Jackson,PG
11/19/2021,LAC,Eric Bledsoe,PG
11/19/2021,LAC,Paul George,SF
11/19/2021,LAC,Nicolas Batum,PF
11/19/2021,LAC,Ivica Zubac,C
11/19/2021,NOP,Tomas Satoransky,PG
11/19/2021,NOP,Nickeil Alexander-Walker,SG
11/19/2021,NOP,Josh Hart,SF
11/19/2021,NOP,Brandon Ingram,SF
11/19/2021,NOP,Jonas Valanciunas,C
11/19/2021,OKC,Shai Gilgeous-Alexander,PG
11/19/2021,OKC,Josh Giddey,SG
11/19/2021,OKC,Luguentz Dort,SF
11/19/2021,OKC,Darius Bazley,PF
11/19/2021,OKC,Jeremiah Robinson-Earl,C
11/19/2021,MIL,Jrue Holiday,PG
11/19/2021,MIL,Grayson Allen,SF
11/19/2021,MIL,Khris Middleton,SF
11/19/2021,MIL,Giannis Antetokounmpo,PF
11/19/2021,MIL,Bobby Portis,PF
11/19/2021,CHI,Lonzo Ball,PG
11/19/2021,CHI,Alex Caruso,SG
11/19/2021,CHI,Zach LaVine,SG
11/19/2021,CHI,DeMar DeRozan,SF
11/19/2021,CHI,Tony Bradley,C
11/19/2021,DEN,Monte Morris,PG
11/19/2021,DEN,Austin Rivers,PG
11/19/2021,DEN,Will Barton,SG
11/19/2021,DEN,Jeff Green,PF
11/19/2021,DEN,Aaron Gordon,PF
11/19/2021,DAL,Jalen Brunson,PG
11/19/2021,DAL,Tim Hardaway Jr.,SF
11/19/2021,DAL,Dorian Finney-Smith,PF
11/19/2021,DAL,Kristaps Porzingis,C
11/19/2021,DAL,Dwight Powell,C
11/19/2021,PHO,Chris Paul,PG
11/19/2021,PHO,Devin Booker,SG
11/19/2021,PHO,Mikal Bridges,SF
11/19/2021,PHO,Jae Crowder,PF
11/19/2021,PHO,Deandre Ayton,C
11/19/2021,TOR,Fred VanVleet,PG
11/19/2021,TOR,Gary Trent Jr.,SG
11/19/2021,TOR,Scottie Barnes,SF
11/19/2021,TOR,Pascal Siakam,PF
11/19/2021,TOR,Khem Birch,C
11/19/2021,SAC,Tyrese Haliburton,PG
11/19/2021,SAC,De'Aaron Fox,PG
11/19/2021,SAC,Harrison Barnes,SF
11/19/2021,SAC,Richaun Holmes,PF
11/19/2021,SAC,Chimezie Metu,C
11/20/2021,HOU,Jalen Green,SG
11/20/2021,HOU,Eric Gordon,SF
11/20/2021,HOU,Jae'Sean Tate,SF
11/20/2021,HOU,Christian Wood,PF
11/20/2021,HOU,Daniel Theis,C
11/20/2021,NYK,Kemba Walker,PG
11/20/2021,NYK,RJ Barrett,SG
11/20/2021,NYK,Evan Fournier,SG
11/20/2021,NYK,Julius Randle,PF
11/20/2021,NYK,Mitchell Robinson,C
11/20/2021,NOP,Tomas Satoransky,PG
11/20/2021,NOP,Nickeil Alexander-Walker,SG
11/20/2021,NOP,Brandon Ingram,SF
11/20/2021,NOP,Josh Hart,SF
11/20/2021,NOP,Jonas Valanciunas,C
11/20/2021,IND,Malcolm Brogdon,SG
11/20/2021,IND,Caris LeVert,SF
11/20/2021,IND,Justin Holiday,SF
11/20/2021,IND,Domantas Sabonis,C
11/20/2021,IND,Myles Turner,C
11/20/2021,MIA,Kyle Lowry,PG
11/20/2021,MIA,Duncan Robinson,SG
11/20/2021,MIA,Jimmy Butler III,SF
11/20/2021,MIA,P.J. Tucker,PF
11/20/2021,MIA,Bam Adebayo,C
11/20/2021,WAS,Spencer Dinwiddie,PG
11/20/2021,WAS,Bradley Beal,SG
11/20/2021,WAS,Kentavious Caldwell-Pope,SG
11/20/2021,WAS,Kyle Kuzma,PF
11/20/2021,WAS,Daniel Gafford,C
11/20/2021,CHO,Terry Rozier,PG
11/20/2021,CHO,LaMelo Ball,PG
11/20/2021,CHO,Gordon Hayward,SF
11/20/2021,CHO,Miles Bridges,SF
11/20/2021,CHO,Mason Plumlee,C
11/20/2021,ATL,Trae Young,PG
11/20/2021,ATL,Bogdan Bogdanovic,SG
11/20/2021,ATL,Kevin Huerter,SG
11/20/2021,ATL,John Collins,PF
11/20/2021,ATL,Clint Capela,C
11/20/2021,OKC,Shai Gilgeous-Alexander,PG
11/20/2021,OKC,Josh Giddey,SG
11/20/2021,OKC,Luguentz Dort,SF
11/20/2021,OKC,Derrick Favors,PF
11/20/2021,OKC,Darius Bazley,PF
11/20/2021,BOS,Marcus Smart,PG
11/20/2021,BOS,Dennis Schroder,PG
11/20/2021,BOS,Jayson Tatum,SF
11/20/2021,BOS,Grant Williams,PF
11/20/2021,BOS,Al Horford,C
11/20/2021,ORL,Jalen Suggs,SG
11/20/2021,ORL,Gary Harris,SG
11/20/2021,ORL,Franz Wagner,SF
11/20/2021,ORL,Mo Bamba,C
11/20/2021,ORL,Wendell Carter Jr.,C
11/20/2021,MIL,Jrue Holiday,PG
11/20/2021,MIL,Khris Middleton,SF
11/20/2021,MIL,Grayson Allen,SF
11/20/2021,MIL,Bobby Portis,PF
11/20/2021,MIL,Giannis Antetokounmpo,PF
11/20/2021,MEM,Ja Morant,PG
11/20/2021,MEM,Desmond Bane,SG
11/20/2021,MEM,Kyle Anderson,SF
11/20/2021,MEM,Jaren Jackson Jr.,PF
11/20/2021,MEM,Steven Adams,C
11/20/2021,MIN,Patrick Beverley,PG
11/20/2021,MIN,D'Angelo Russell,PG
11/20/2021,MIN,Anthony Edwards,SG
11/20/2021,MIN,Jarred Vanderbilt,SF
11/20/2021,MIN,Karl-Anthony Towns,PF
11/20/2021,PHI,Tyrese Maxey,PG
11/20/2021,PHI,Seth Curry,SG
11/20/2021,PHI,Georges Niang,SF
11/20/2021,PHI,Tobias Harris,SF
11/20/2021,PHI,Andre Drummond,C
11/20/2021,POR,Damian Lillard,PG
11/20/2021,POR,CJ McCollum,PG
11/20/2021,POR,Norman Powell,SG
11/20/2021,POR,Robert Covington,SF
11/20/2021,POR,Jusuf Nurkic,C
11/20/2021,UTA,Mike Conley,PG
11/20/2021,UTA,Donovan Mitchell,SG
11/20/2021,UTA,Bojan Bogdanovic,SF
11/20/2021,UTA,Royce O'Neale,PF
11/20/2021,UTA,Rudy Gobert,C
11/20/2021,SAC,Tyrese Haliburton,PG
11/20/2021,SAC,De'Aaron Fox,PG
11/20/2021,SAC,Harrison Barnes,SF
11/20/2021,SAC,Richaun Holmes,PF
11/20/2021,SAC,Chimezie Metu,C
11/21/2021,DAL,Jalen Brunson,PG
11/21/2021,DAL,Tim Hardaway Jr.,SF
11/21/2021,DAL,Dorian Finney-Smith,PF
11/21/2021,DAL,Dwight Powell,C
11/21/2021,DAL,Kristaps Porzingis,C
11/21/2021,LAC,Reggie Jackson,PG
11/21/2021,LAC,Eric Bledsoe,PG
11/21/2021,LAC,Paul George,SF
11/21/2021,LAC,Amir Coffey,PF
11/21/2021,LAC,Ivica Zubac,C
11/21/2021,LAL,Russell Westbrook,PG
11/21/2021,LAL,Avery Bradley,SG
11/21/2021,LAL,LeBron James,SF
11/21/2021,LAL,Anthony Davis,C
11/21/2021,LAL,DeAndre Jordan,C
11/21/2021,DET,Cade Cunningham,PG
11/21/2021,DET,Cory Joseph,PG
11/21/2021,DET,Saddiq Bey,PF
11/21/2021,DET,Jerami Grant,PF
11/21/2021,DET,Isaiah Stewart,PF
11/21/2021,NYK,Kemba Walker,PG
11/21/2021,NYK,Evan Fournier,SG
11/21/2021,NYK,RJ Barrett,SG
11/21/2021,NYK,Julius Randle,PF
11/21/2021,NYK,Nerlens Noel,C
11/21/2021,CHI,Lonzo Ball,PG
11/21/2021,CHI,Alex Caruso,SG
11/21/2021,CHI,Zach LaVine,SG
11/21/2021,CHI,DeMar DeRozan,SF
11/21/2021,CHI,Tony Bradley,C
11/21/2021,DEN,Monte Morris,PG
11/21/2021,DEN,Will Barton,SG
11/21/2021,DEN,JaMychal Green,PF
11/21/2021,DEN,Jeff Green,PF
11/21/2021,DEN,Aaron Gordon,PF
11/21/2021,PHO,Chris Paul,PG
11/21/2021,PHO,Devin Booker,SG
11/21/2021,PHO,Mikal Bridges,SF
11/21/2021,PHO,Jae Crowder,PF
11/21/2021,PHO,Deandre Ayton,C
11/21/2021,TOR,Fred VanVleet,PG
11/21/2021,TOR,Gary Trent Jr.,SG
11/21/2021,TOR,Scottie Barnes,SF
11/21/2021,TOR,Pascal Siakam,PF
11/21/2021,TOR,Khem Birch,C
11/21/2021,GSW,Stephen Curry,PG
11/21/2021,GSW,Jordan Poole,PG
11/21/2021,GSW,Andrew Wiggins,SF
11/21/2021,GSW,Draymond Green,PF
11/21/2021,GSW,Kevon Looney,C
11/22/2021,CHO,LaMelo Ball,PG
11/22/2021,CHO,Terry Rozier,PG
11/22/2021,CHO,Miles Bridges,SF
11/22/2021,CHO,Gordon Hayward,SF
11/22/2021,CHO,Mason Plumlee,C
11/22/2021,WAS,Spencer Dinwiddie,PG
11/22/2021,WAS,Kentavious Caldwell-Pope,SG
11/22/2021,WAS,Bradley Beal,SG
11/22/2021,WAS,Kyle Kuzma,PF
11/22/2021,WAS,Daniel Gafford,C
11/22/2021,BRK,Patty Mills,PG
11/22/2021,BRK,James Harden,SG
11/22/2021,BRK,DeAndre' Bembry,SF
11/22/2021,BRK,Blake Griffin,PF
11/22/2021,BRK,Kevin Durant,PF
11/22/2021,CLE,Darius Garland,PG
11/22/2021,CLE,Isaac Okoro,SF
11/22/2021,CLE,Dean Wade,PF
11/22/2021,CLE,Lauri Markkanen,PF
11/22/2021,CLE,Jarrett Allen,C
11/22/2021,OKC,Josh Giddey,SG
11/22/2021,OKC,Luguentz Dort,SF
11/22/2021,OKC,Darius Bazley,PF
11/22/2021,OKC,Derrick Favors,PF
11/22/2021,OKC,Jeremiah Robinson-Earl,C
11/22/2021,ATL,Trae Young,PG
11/22/2021,ATL,Bogdan Bogdanovic,SG
11/22/2021,ATL,Kevin Huerter,SG
11/22/2021,ATL,John Collins,PF
11/22/2021,ATL,Clint Capela,C
11/22/2021,HOU,Jalen Green,SG
11/22/2021,HOU,Jae'Sean Tate,SF
11/22/2021,HOU,Eric Gordon,SF
11/22/2021,HOU,Christian Wood,PF
11/22/2021,HOU,Daniel Theis,C
11/22/2021,BOS,Marcus Smart,PG
11/22/2021,BOS,Jaylen Brown,SG
11/22/2021,BOS,Jayson Tatum,SF
11/22/2021,BOS,Al Horford,C
11/22/2021,BOS,Robert Williams III,C
11/22/2021,MIN,D'Angelo Russell,PG
11/22/2021,MIN,Patrick Beverley,PG
11/22/2021,MIN,Anthony Edwards,SG
11/22/2021,MIN,Jarred Vanderbilt,SF
11/22/2021,MIN,Karl-Anthony Towns,PF
11/22/2021,NOP,Tomas Satoransky,PG
11/22/2021,NOP,Garrett Temple,SG
11/22/2021,NOP,Josh Hart,SF
11/22/2021,NOP,Brandon Ingram,SF
11/22/2021,NOP,Jonas Valanciunas,C
11/22/2021,IND,Malcolm Brogdon,SG
11/22/2021,IND,Caris LeVert,SF
11/22/2021,IND,Justin Holiday,SF
11/22/2021,IND,Myles Turner,C
11/22/2021,IND,Domantas Sabonis,C
11/22/2021,CHI,Lonzo Ball,PG
11/22/2021,CHI,Coby White,SG
11/22/2021,CHI,Zach LaVine,SG
11/22/2021,CHI,DeMar DeRozan,SF
11/22/2021,CHI,Tony Bradley,C
11/22/2021,ORL,Mychal Mulder,PG
11/22/2021,ORL,Jalen Suggs,SG
11/22/2021,ORL,Franz Wagner,SF
11/22/2021,ORL,Mo Bamba,C
11/22/2021,ORL,Wendell Carter Jr.,C
11/22/2021,MIL,Jrue Holiday,PG
11/22/2021,MIL,Khris Middleton,SF
11/22/2021,MIL,Grayson Allen,SF
11/22/2021,MIL,Bobby Portis,PF
11/22/2021,MIL,Giannis Antetokounmpo,PF
11/22/2021,PHO,Chris Paul,PG
11/22/2021,PHO,Devin Booker,SG
11/22/2021,PHO,Mikal Bridges,SF
11/22/2021,PHO,Jae Crowder,PF
11/22/2021,PHO,Deandre Ayton,C
11/22/2021,SAS,Dejounte Murray,SG
11/22/2021,SAS,Derrick White,SG
11/22/2021,SAS,Keita Bates-Diop,SF
11/22/2021,SAS,Keldon Johnson,SF
11/22/2021,SAS,Jakob Poeltl,C
11/22/2021,MEM,Ja Morant,PG
11/22/2021,MEM,Desmond Bane,SG
11/22/2021,MEM,Kyle Anderson,SF
11/22/2021,MEM,Jaren Jackson Jr.,PF
11/22/2021,MEM,Steven Adams,C
11/22/2021,UTA,Mike Conley,PG
11/22/2021,UTA,Donovan Mitchell,SG
11/22/2021,UTA,Bojan Bogdanovic,SF
11/22/2021,UTA,Royce O'Neale,PF
11/22/2021,UTA,Rudy Gobert,C
11/22/2021,PHI,Tyrese Maxey,PG
11/22/2021,PHI,Matisse Thybulle,SG
11/22/2021,PHI,Furkan Korkmaz,SG
11/22/2021,PHI,Georges Niang,SF
11/22/2021,PHI,Andre Drummond,C
11/22/2021,SAC,De'Aaron Fox,PG
11/22/2021,SAC,Tyrese Haliburton,PG
11/22/2021,SAC,Maurice Harkless,SF
11/22/2021,SAC,Harrison Barnes,SF
11/22/2021,SAC,Richaun Holmes,PF
11/23/2021,MIA,Kyle Lowry,PG
11/23/2021,MIA,Duncan Robinson,SG
11/23/2021,MIA,Jimmy Butler III,SF
11/23/2021,MIA,P.J. Tucker,PF
11/23/2021,MIA,Bam Adebayo,C
11/23/2021,DET,Cory Joseph,PG
11/23/2021,DET,Cade Cunningham,PG
11/23/2021,DET,Jerami Grant,PF
11/23/2021,DET,Saddiq Bey,PF
11/23/2021,DET,Luka Garza,C
11/23/2021,LAL,Russell Westbrook,PG
11/23/2021,LAL,Talen Horton-Tucker,SG
11/23/2021,LAL,Avery Bradley,SG
11/23/2021,LAL,Anthony Davis,C
11/23/2021,LAL,DeAndre Jordan,C
11/23/2021,NYK,Kemba Walker,PG
11/23/2021,NYK,RJ Barrett,SG
11/23/2021,NYK,Evan Fournier,SG
11/23/2021,NYK,Julius Randle,PF
11/23/2021,NYK,Nerlens Noel,C
11/23/2021,DEN,Monte Morris,PG
11/23/2021,DEN,Will Barton,SG
11/23/2021,DEN,Jeff Green,PF
11/23/2021,DEN,JaMychal Green,PF
11/23/2021,DEN,Aaron Gordon,PF
11/23/2021,POR,CJ McCollum,PG
11/23/2021,POR,Damian Lillard,PG
11/23/2021,POR,Norman Powell,SG
11/23/2021,POR,Robert Covington,SF
11/23/2021,POR,Jusuf Nurkic,C
11/23/2021,DAL,Luka Doncic,PG
11/23/2021,DAL,Tim Hardaway Jr.,SF
11/23/2021,DAL,Dorian Finney-Smith,PF
11/23/2021,DAL,Willie Cauley-Stein,C
11/23/2021,DAL,Kristaps Porzingis,C
11/23/2021,LAC,Reggie Jackson,PG
11/23/2021,LAC,Eric Bledsoe,PG
11/23/2021,LAC,Paul George,SF
11/23/2021,LAC,Marcus Morris Sr.,PF
11/23/2021,LAC,Ivica Zubac,C
11/24/2021,PHO,Chris Paul,PG
11/24/2021,PHO,Devin Booker,SG
11/24/2021,PHO,Mikal Bridges,SF
11/24/2021,PHO,Jae Crowder,PF
11/24/2021,PHO,Deandre Ayton,C
11/24/2021,CLE,Darius Garland,PG
11/24/2021,CLE,Isaac Okoro,SF
11/24/2021,CLE,Dean Wade,PF
11/24/2021,CLE,Lauri Markkanen,PF
11/24/2021,CLE,Jarrett Allen,C
11/24/2021,CHO,Terry Rozier,PG
11/24/2021,CHO,LaMelo Ball,PG
11/24/2021,CHO,Miles Bridges,SF
11/24/2021,CHO,Gordon Hayward,SF
11/24/2021,CHO,Mason Plumlee,C
11/24/2021,ORL,Jalen Suggs,SG
11/24/2021,ORL,Gary Harris,SG
11/24/2021,ORL,Franz Wagner,SF
11/24/2021,ORL,Mo Bamba,C
11/24/2021,ORL,Wendell Carter Jr.,C
11/24/2021,LAL,Russell Westbrook,PG
11/24/2021,LAL,Talen Horton-Tucker,SG
11/24/2021,LAL,Avery Bradley,SG
11/24/2021,LAL,LeBron James,SF
11/24/2021,LAL,DeAndre Jordan,C
11/24/2021,IND,Malcolm Brogdon,SG
11/24/2021,IND,Justin Holiday,SF
11/24/2021,IND,Caris LeVert,SF
11/24/2021,IND,Myles Turner,C
11/24/2021,IND,Domantas Sabonis,C
11/24/2021,BRK,Patty Mills,PG
11/24/2021,BRK,James Harden,SG
11/24/2021,BRK,DeAndre' Bembry,SF
11/24/2021,BRK,Kevin Durant,PF
11/24/2021,BRK,LaMarcus Aldridge,PF
11/24/2021,BOS,Marcus Smart,PG
11/24/2021,BOS,Jaylen Brown,SG
11/24/2021,BOS,Jayson Tatum,SF
11/24/2021,BOS,Grant Williams,PF
11/24/2021,BOS,Al Horford,C
11/24/2021,CHI,Lonzo Ball,PG
11/24/2021,CHI,Javonte Green,SG
11/24/2021,CHI,Zach LaVine,SG
11/24/2021,CHI,DeMar DeRozan,SF
11/24/2021,CHI,Nikola Vucevic,C
11/24/2021,HOU,Kevin Porter Jr.,PG
11/24/2021,HOU,Jalen Green,SG
11/24/2021,HOU,Eric Gordon,SF
11/24/2021,HOU,Jae'Sean Tate,SF
11/24/2021,HOU,Christian Wood,PF
11/24/2021,DET,Cory Joseph,PG
11/24/2021,DET,Cade Cunningham,PG
11/24/2021,DET,Jerami Grant,PF
11/24/2021,DET,Saddiq Bey,PF
11/24/2021,DET,Luka Garza,C
11/24/2021,MIL,Jrue Holiday,PG
11/24/2021,MIL,Khris Middleton,SF
11/24/2021,MIL,Grayson Allen,SF
11/24/2021,MIL,Giannis Antetokounmpo,PF
11/24/2021,MIL,Bobby Portis,PF
11/24/2021,MIA,Kyle Lowry,PG
11/24/2021,MIA,Duncan Robinson,SG
11/24/2021,MIA,Jimmy Butler III,SF
11/24/2021,MIA,P.J. Tucker,PF
11/24/2021,MIA,Bam Adebayo,C
11/24/2021,MIN,D'Angelo Russell,PG
11/24/2021,MIN,Patrick Beverley,PG
11/24/2021,MIN,Anthony Edwards,SG
11/24/2021,MIN,Jarred Vanderbilt,SF
11/24/2021,MIN,Karl-Anthony Towns,PF
11/24/2021,UTA,Mike Conley,PG
11/24/2021,UTA,Donovan Mitchell,SG
11/24/2021,UTA,Bojan Bogdanovic,SF
11/24/2021,UTA,Royce O'Neale,PF
11/24/2021,UTA,Rudy Gobert,C
11/24/2021,OKC,Aaron Wiggins,SG
11/24/2021,OKC,Josh Giddey,SG
11/24/2021,OKC,Luguentz Dort,SF
11/24/2021,OKC,Darius Bazley,PF
11/24/2021,OKC,Jeremiah Robinson-Earl,C
11/24/2021,TOR,Fred VanVleet,PG
11/24/2021,TOR,Gary Trent Jr.,SG
11/24/2021,TOR,Scottie Barnes,SF
11/24/2021,TOR,Precious Achiuwa,PF
11/24/2021,TOR,Pascal Siakam,PF
11/24/2021,MEM,Ja Morant,PG
11/24/2021,MEM,Desmond Bane,SG
11/24/2021,MEM,Dillon Brooks,SF
11/24/2021,MEM,Jaren Jackson Jr.,PF
11/24/2021,MEM,Steven Adams,C
11/24/2021,WAS,Spencer Dinwiddie,PG
11/24/2021,WAS,Kentavious Caldwell-Pope,SG
11/24/2021,WAS,Bradley Beal,SG
11/24/2021,WAS,Kyle Kuzma,PF
11/24/2021,WAS,Daniel Gafford,C
11/24/2021,NOP,Devonte' Graham,PG
11/24/2021,NOP,Herbert Jones,SF
11/24/2021,NOP,Josh Hart,SF
